County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Essex County, Massachusetts",36.95,46.02,50.16,49.24,43.65
"Delta County, Michigan",36.78,36.04,53.34,38.5,45.24
"Crawford County, Wisconsin",36.77,30.94,34.17,35.38,39.56
"Cameron County, Texas",36.76,33.94,39.97,81,54.65
"Delaware County, Iowa",36.76,42.19,57.19,42.57,40.82
"Upton County, Texas",36.76,14.9,11.34,23.05,8.66
"Luzerne County, Pennsylvania",36.73,43,41.53,54.23,55.66
"Wabasha County, Minnesota",36.67,29.71,35.53,36.21,36.53
"Allegheny County, Pennsylvania",36.66,37.66,49.37,52.07,52.48
"Tulare County, California",36.39,23.24,32.36,12.82,19.78
"DuPage County, Illinois",36.21,40.77,38.65,37.38,36.58
"Brewster County, Texas",36.14,20.58,28.63,63.7,25.22
"Jefferson Davis Parish, Louisiana",36.1,50.96,47.8,47.51,46.04
"Mitchell County, Kansas",35.92,31.54,32.57,39.36,34.93
"Wharton County, Texas",35.86,43.87,46.31,42.27,42.1
"Collier County, Florida",35.83,14.84,19.33,17.58,19.31
"Terrebonne Parish, Louisiana",35.75,48.85,52.8,46.65,56.52
"Cameron Parish, Louisiana",35.5,55.56,48.07,53.53,33.75
"St. John the Baptist Parish, Louisiana",35.47,33.54,50.05,58.2,52.5
"Kent County, Rhode Island",35.31,47.75,56.37,61.74,61.54
"Valencia County, New Mexico",35.3,28.19,44.16,28.31,81.42
"Morris County, New Jersey",35.27,41.99,38.07,40.75,32.5
"Ste. Genevieve County, Missouri",35.25,35.46,49.67,50.98,62.11
"Fairfield County, Connecticut",35.21,44.1,49.16,41.99,42.77
"Knox County, Nebraska",35.14,24.46,28.39,30.83,24.92
"Grant County, Wisconsin",35.1,40.01,56.27,55.43,53.03
"Boyd County, Nebraska",35.08,25.87,38.88,31.29,35.88
"Mitchell County, Texas",34.97,17.55,11.76,11.54,17.88
"Union County, New Jersey",34.96,46.08,48.19,52.59,52.54
"Passaic County, New Jersey",34.93,39.77,32.77,37.11,37.1
"Kings County, California",34.89,43.23,29,14.78,21.17
"Winchester city, Virginia",34.89,29.12,22.08,,
"Edwards County, Texas",34.74,26.62,35.25,61.78,36.15
"Cambria County, Pennsylvania",34.67,45.12,54.8,51.49,56.75
"Clinton County, New York",34.64,33.72,60.89,50.02,58.44
"Sutton County, Texas",34.64,29.07,42.92,35.79,33.04
"Bucks County, Pennsylvania",34.52,51.49,43.76,36.22,36.55
"Kossuth County, Iowa",34.34,43.32,34.36,38.97,40.05
"Lawrence County, Pennsylvania",34.32,27.56,34.58,36.9,35.11
"Plymouth County, Massachusetts",34.3,33.54,43.37,79.1,42.38
"Manitowoc County, Wisconsin",34.18,43.67,52.06,52.2,47.75
"Geauga County, Ohio",34.04,33.07,28.11,21.54,20.86
"Finney County, Kansas",34.02,19.21,24.68,19.79,23.5
"Stearns County, Minnesota",33.94,41.53,49.98,58.49,58.85
"Merced County, California",33.91,39.88,38.02,16.82,29.12
"Comal County, Texas",33.77,16.44,22.05,21.51,27.45
"Monroe County, Florida",33.75,18.26,16.37,22.07,22.47
"Oliver County, North Dakota",33.72,22.59,34.53,24.11,26.09
"Kane County, Illinois",33.58,30.16,34.39,27.53,25.63
"Morton County, North Dakota",33.46,52.98,53.4,47.84,50.57
"Dutchess County, New York",33.46,37.35,42.97,40.71,33.42
"Oneida County, New York",33.41,36.93,35.6,39.52,41.14
"McMullen County, Texas",33.33,30.98,41.36,22.03,19.01
"Onondaga County, New York",33.32,35.01,32.14,33.94,36.22
"St. Bernard Parish, Louisiana",32.99,40.48,49.69,62.06,88.29
"Grand Isle County, Vermont",32.91,37.43,57.34,35.5,60.74
"Bristol County, Massachusetts",32.91,52.18,50.2,48.43,59.34
"Outagamie County, Wisconsin",32.91,40.76,52,55.81,48.05
"Santa Barbara County, California",32.77,34.66,41.29,27.53,21.57
"Langlade County, Wisconsin",32.76,35.86,41.09,45.24,43.18
"Delaware County, Pennsylvania",32.74,46.96,48.94,43.97,46.55
"Brown County, Wisconsin",32.68,44.4,52.36,54.42,52.47
"Lake County, Ohio",32.41,35.15,35.67,38.79,38.78
"Worcester County, Massachusetts",32.33,38.44,41.18,45.89,51.26
"Hampden County, Massachusetts",32.22,48.26,52.4,33.37,53.91
"Rockland County, New York",32.06,35.09,43.96,41.12,37.31
"Ford County, Kansas",32.03,37.14,21.44,16.44,23.1
"Hall County, Georgia",32.01,21.32,4.2,2.97,1.32
"Crosby County, Texas",31.97,30.14,23.2,8.21,28.22
"Aroostook County, Maine",31.84,30.89,43.03,37.62,43.39
"Schoolcraft County, Michigan",31.84,32.41,22,18.18,41.4
"Silver Bow County, Montana",31.81,26.46,35.47,32.8,40.92
"Storey County, Nevada",31.77,8.15,5.15,10.41,12.77
"Teton County, Montana",31.69,18.11,19.1,15.18,10.4
"Napa County, California",31.61,35.15,20.44,16.5,16.08
"Cayuga County, New York",31.6,29.91,33.14,27.04,39.11
"Refugio County, Texas",31.54,31.92,24.85,49.65,31.81
"Eddy County, North Dakota",31.53,20.96,24.52,19.32,21.81
"Rooks County, Kansas",31.51,23.53,26.51,28.71,26.18
"Montgomery County, New York",31.44,27.77,48.86,39.66,44.67
"Los Angeles County, California",31.44,36.08,39.99,34.72,25.47
"Waukesha County, Wisconsin",31.42,29.5,37.34,32.33,39.51
"Queens County, New York",31.32,30.37,28.89,37.48,34.06
"Idaho County, Idaho",31.16,16.78,17.99,15.24,17.78
"Kingman County, Kansas",31.1,26.72,25.35,27.68,29.7
"Lake County, Illinois",31.07,30.05,39.26,47.12,29.86
"Ascension Parish, Louisiana",31.04,34.02,41.08,52.09,50.16
"Chester County, Pennsylvania",30.84,42.52,32.43,25.04,23.85
"Bernalillo County, New Mexico",30.76,26.45,34.39,27.49,32.85
"Charlottesville city, Virginia",30.72,24.79,11.8,,
"Ness County, Kansas",30.7,42.2,36.77,29.75,31.64
"Shelby County, Iowa",30.66,28.47,32.62,37.81,39.21
"Pierce County, North Dakota",30.63,35.85,45.2,39.92,46.12
"Richland County, North Dakota",30.58,27.1,25.4,35.55,36.31
"Bee County, Texas",30.45,50.59,21.28,33.98,31.87
"Menominee County, Michigan",30.42,33.45,43.72,34.86,42.62
"Chittenden County, Vermont",30.41,25,25.34,33.22,42.73
