County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Dane County, Wisconsin",0.49,0.58,1.06,1.23,0.41
"Putnam County, New York",0.48,1.16,1.04,1.19,0.51
"Ventura County, California",0.48,0.66,1.99,1.2,0.3
"Hillsborough County, Florida",0.48,0.55,2,1.33,0.26
"St. Joseph County, Indiana",0.47,0.57,0.7,0.73,0.3
"Beaufort County, South Carolina",0.47,0.42,0.33,0,0.06
"Ohio County, West Virginia",0.46,0.44,0.42,0.19,0.58
"Duval County, Florida",0.46,0.59,0.78,0.81,0.42
"Guilford County, North Carolina",0.46,0.6,0.59,0.33,0.36
"Mahoning County, Ohio",0.45,0.4,1.09,0.76,0.83
"Montgomery County, Ohio",0.45,0.5,0.89,0.35,0.44
"Pinellas County, Florida",0.45,0.67,2.63,1.12,0.42
"Fulton County, New York",0.45,0.43,0.54,1.61,0.38
"Burlington County, New Jersey",0.45,0.58,3.07,2.48,0.33
"Jefferson County, Alabama",0.45,0.63,0.8,0.56,0.33
"Wayne County, Pennsylvania",0.45,0.51,1.05,1.25,0.3
"Kanawha County, West Virginia",0.45,0.17,0.49,0.39,0.18
"Polk County, Oregon",0.45,,,0.09,0
"Windsor County, Vermont",0.45,0.43,0.49,,
"Staunton city, Virginia",0.44,0.48,0.88,,
"St. Louis County, Minnesota",0.43,0.29,0.25,0,0.52
"Harris County, Texas",0.43,0.53,1.06,1.28,0.5
"Fayette County, Kentucky",0.43,0.49,0.77,0.57,0.31
"Newport News city, Virginia",0.43,0.24,0.89,0.46,0.27
"San Diego County, California",0.43,0.54,2.49,2.8,0.24
"Travis County, Texas",0.43,0.45,1.66,0.64,0.22
"Penobscot County, Maine",0.43,0.51,0.69,0.85,0
"Mecklenburg County, North Carolina",0.42,0.57,1.22,0.41,0.22
"Napa County, California",0.42,0.3,0.8,0.41,0
"Leon County, Florida",0.41,0.48,0.92,0.64,0.37
"Delaware County, Pennsylvania",0.41,0.56,2.85,6.7,0.34
"Alachua County, Florida",0.41,0.47,1.01,0.59,0.14
"Cobb County, Georgia",0.41,0.48,1.65,2.29,0
"Martin County, Florida",0.41,0.49,1.74,,
"Bradley County, Tennessee",0.41,,,,
"Pima County, Arizona",0.4,0.58,2.37,3,0.48
"Champaign County, Illinois",0.4,0.37,0.78,0.98,0.34
"Sonoma County, California",0.4,0.41,1.96,2.19,0.09
"Summit County, Ohio",0.39,0.44,0.74,0.91,0.43
"Saratoga County, New York",0.39,0.4,0.3,1.66,0.11
"St. Johns County, Florida",0.39,0.5,0.97,0.81,0
"Worcester County, Massachusetts",0.38,0.51,2.6,1.93,0.57
"Clarke County, Georgia",0.38,0.35,0.39,0.34,0.28
"Merrimack County, New Hampshire",0.38,0.34,0.39,0.37,0.26
"Contra Costa County, California",0.38,0.44,2.32,2.61,0.25
"Campbell County, Virginia",0.38,,,0.15,0.21
"Orange County, North Carolina",0.38,0.38,,0.77,0
"Jefferson County, Kentucky",0.37,0.7,1.25,1.05,0.41
"Orange County, California",0.37,0.48,2.11,3.94,0.24
"Richmond County, Georgia",0.37,0.4,0.65,0.52,0.19
"New Hanover County, North Carolina",0.37,0.25,0.75,0.42,0.11
"Blair County, Pennsylvania",0.35,0.41,0.45,0.37,0.38
"Hillsborough County, New Hampshire",0.35,0.5,1.58,1.04,0.36
"Bibb County, Georgia",0.35,0.41,0.65,0.32,0.3
"Lane County, Oregon",0.35,0.35,1.01,0.81,0.07
"Yolo County, California",0.35,0.37,1.33,0.84,0
"Indian River County, Florida",0.34,0.35,0.35,0.33,0
"Montgomery County, Alabama",0.33,0.43,0.54,0.62,0.45
"Bristol County, Massachusetts",0.33,0.43,2.17,1.22,0.24
"Rockingham County, New Hampshire",0.33,0.32,0.5,0.45,0
"Northampton County, Pennsylvania",0.32,0.45,1.59,1.41,3.41
"Tulsa County, Oklahoma",0.32,0.4,0.47,0.38,0.35
"Ingham County, Michigan",0.32,0.36,0.75,0.49,0.34
"Richland County, South Carolina",0.32,0.44,0.86,0.44,0.34
"Monroe County, Indiana",0.32,0.39,0.83,0.92,0
"Rensselaer County, New York",0.31,0.43,0.52,1.91,0.35
"Wake County, North Carolina",0.31,0.38,0.96,0.77,0.2
"Frederick County, Maryland",0.31,0.18,0.61,0.4,0
"Whatcom County, Washington",0.31,0.33,0.31,0.23,0
"Cheshire County, New Hampshire",0.31,0.36,0.41,0.21,0
"Belknap County, New Hampshire",0.3,0.33,0.52,0.55,0.37
"Bernalillo County, New Mexico",0.3,0.38,1.35,0.92,0.27
"Buncombe County, North Carolina",0.3,0.47,0.63,7.46,0.25
"Washington County, Mississippi",0.29,0.22,0.19,0.71,0.57
"Lancaster County, Pennsylvania",0.29,0.31,0.64,0.5,0.17
"Otsego County, New York",0.29,0.35,0.49,0.41,0.12
"Christian County, Missouri",0.29,,,0.12,0
"Arlington County, Virginia",0.28,0.23,1.9,4.3,0.78
"Maricopa County, Arizona",0.28,0.36,1.95,2.36,0.39
"Centre County, Pennsylvania",0.28,0.34,0.52,0.44,0
"Orange County, Florida",0.27,0.37,1.23,1.67,0.28
"Bexar County, Texas",0.27,0.31,0.79,0.77,0.28
"Clark County, Nevada",0.27,0.31,5.45,2.56,0.21
"Sacramento County, California",0.27,0.32,1.37,0.84,0.18
"Suffolk County, Massachusetts",0.26,0.7,3.58,6.03,0.61
"Windham County, Connecticut",0.26,0.45,0.73,0.54,0.1
"Caddo Parish, Louisiana",0.25,0.23,0.16,0.3,0.41
"LaPorte County, Indiana",0.25,0.3,0.27,0.26,0.38
"Clinton County, New York",0.25,0.26,0.31,0.3,0.24
"Frederick County, Virginia",0.25,,,0.21,0.17
"Collin County, Texas",0.25,0.24,1.37,1.33,0
"Pulaski County, Arkansas",0.24,0.26,0.3,0.28,0.28
"Litchfield County, Connecticut",0.24,0.28,1.14,0.55,0.25
"Anne Arundel County, Maryland",0.24,0.22,0.61,0.47,0.1
"Humboldt County, California",0.24,0.25,0.79,0.42,0.09
"Monongalia County, West Virginia",0.23,0.27,0.24,0.2,0
"Gallatin County, Montana",0.23,0.32,0.07,,
"Moore County, North Carolina",0.23,0.26,,,
"Plymouth County, Massachusetts",0.22,0.37,4.99,7.98,0.38
"Stark County, Ohio",0.22,0.4,0.4,0.61,0.37
"Rapides Parish, Louisiana",0.22,0.27,0.28,0.27,0.34
"Scott County, Iowa",0.22,0.27,0.41,0.36,0.32
"Vanderburgh County, Indiana",0.22,0.19,0.23,0.32,0.29
"Rockingham County, Virginia",0.22,,,0,0.2
"Rutland County, Vermont",0.22,0.24,1.03,0.89,0.15
"Chester County, Pennsylvania",0.22,0.48,2.33,6.7,0.08
"Jackson County, Oregon",0.22,0.26,0.55,0.34,0.08
"Stafford County, Virginia",0.22,,0.27,10.92,0
"Kent County, Rhode Island",0.22,0.32,1.05,1.59,0
"Kennebec County, Maine",0.22,0.24,0.29,0.69,0
"Boone County, Missouri",0.22,0.27,0.3,0.31,0
"Berks County, Pennsylvania",0.21,0.3,0.59,0.83,0.35
"Knox County, Tennessee",0.21,0.27,0.47,0.22,0.22
"Kenosha County, Wisconsin",0.21,0.21,0.2,0.16,0.22
"Kalamazoo County, Michigan",0.21,0.22,0.63,0.45,0.15
"Henderson County, North Carolina",0.21,0.27,0.28,0.19,0.12
"Hinds County, Mississippi",0.2,0.24,0.22,0.18,0.21
"Montgomery County, New York",0.2,0.19,0.3,1.39,0.17
"Monroe County, Pennsylvania",0.2,0.22,0.43,0.91,0.13
"Newport County, Rhode Island",0.2,0.28,0.82,0.8,0.12
"Thurston County, Washington",0.2,0.27,0.27,0.19,0
"Ector County, Texas",0.2,0.13,0.17,0.06,0
"Deschutes County, Oregon",0.2,0.1,0.15,,
"Bolivar County, Mississippi",0.19,0.18,0.09,0.29,0.31
"Erie County, Pennsylvania",0.19,0.21,0.3,0.29,0.28
"East Baton Rouge Parish, Louisiana",0.19,0.23,0.19,0.23,0.25
"Loudoun County, Virginia",0.19,0.25,2.12,10.91,0
"Dakota County, Minnesota",0.19,0.24,0.31,1.36,0
"Hamilton County, Indiana",0.19,0.14,,0.8,0
"Washington County, Maryland",0.18,0.19,0.25,0.25,0.27
"Prince George's County, Maryland",0.18,0.2,2.58,7.03,0.13
"Herkimer County, New York",0.18,0.17,0.2,0.66,0.09
"Danville city, Virginia",0.18,0.2,0.26,,
"Nevada County, California",0.18,0.25,0.11,,
