County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Union Parish, Louisiana",55.76,58.95,63.99,67.89,56.74
"Reynolds County, Missouri",55.73,50.63,39.96,57.17,37.77
"Crittenden County, Kentucky",55.38,55.75,47.02,46.71,45.38
"Knox County, Kentucky",55.37,48.09,53.22,61.27,51.85
"Prentiss County, Mississippi",55.36,56.63,45.23,46.55,33.92
"Okmulgee County, Oklahoma",55.26,52.23,42.82,45.43,38.08
"Boone County, Arkansas",55.25,63.64,43.29,42.14,38.98
"McNairy County, Tennessee",55.22,46.79,50.79,49.26,43.89
"Washington County, Alabama",55.19,42.04,39.15,45.58,41.13
"Boyle County, Kentucky",55.13,62.47,58.26,55.87,52.83
"Le Flore County, Oklahoma",55.09,50.88,50.67,56.99,44.53
"Clay County, North Carolina",54.9,76.75,42.14,51.11,49.1
"Pontotoc County, Oklahoma",54.79,44.02,47.97,57.11,54.16
"Coffee County, Alabama",54.78,51.83,56.63,57.43,53.65
"Cass County, Texas",54.76,58.72,56.16,52.19,54.86
"White County, Arkansas",54.6,50.79,53.3,50.46,47.65
"Carroll County, Missouri",54.55,54.12,49.82,50.76,47.51
"Whitley County, Kentucky",54.43,58.04,63.14,63.75,59.23
"Cullman County, Alabama",54.36,66.99,60.33,64.6,61.22
"Carlisle County, Kentucky",54.35,38.77,58.57,64.24,68.31
"Beckham County, Oklahoma",54.24,53.68,60.39,66.66,49.31
"Fannin County, Georgia",54.19,56.91,62.64,71.78,71.39
"Union County, South Carolina",54.13,57.09,51.92,51.79,47.08
"Madison County, Tennessee",54.01,44.33,39.71,43.81,41
"Mississippi County, Arkansas",53.95,53.45,54.48,51.13,46.06
"Escambia County, Alabama",53.94,48.18,43.25,46.79,37.59
"Marshall County, Kentucky",53.91,46.93,53.61,49.54,47.43
"Scott County, Mississippi",53.91,51.82,44.8,46.82,42.05
"Clarke County, Alabama",53.85,52.78,48.58,48.03,45.24
"Adair County, Oklahoma",53.84,45.52,41.89,46.01,42.32
"Ben Hill County, Georgia",53.83,57.96,45.37,60.47,45.49
"Claiborne County, Tennessee",53.76,56.32,51.19,62.1,66.07
"Pulaski County, Illinois",53.75,54.05,39.79,41.77,33.62
"Clay County, Alabama",53.72,63.87,61.3,64.85,58.27
"Metcalfe County, Kentucky",53.57,57.4,38.51,40.96,33.22
"Terrell County, Texas",53.55,43.09,27.84,22.84,24.58
"Jeff Davis County, Georgia",53.54,44.33,64.99,66.86,51.46
"Clay County, Illinois",53.54,52.6,45.86,42.93,39.49
"LaSalle Parish, Louisiana",53.46,55.35,81.5,83.08,59.47
"Massac County, Illinois",53.35,50.59,48.58,54.35,48.95
"Defiance County, Ohio",53.32,25.88,20.48,20.94,20.66
"Pushmataha County, Oklahoma",53.28,63.46,58.9,54.08,49.09
"Rockwall County, Texas",53.27,60.72,45.2,44.06,29.79
"Tallapoosa County, Alabama",53.26,47.37,43.21,42.69,40.79
"Dade County, Missouri",53.16,50.35,49.93,57.01,56.56
"Rockcastle County, Kentucky",53.12,53.9,51.71,56.91,57.12
"Lauderdale County, Alabama",53.1,44.18,42,45.69,38.08
"Cherokee County, South Carolina",53.07,50.14,52.77,58.66,60.3
"Hart County, Georgia",52.94,51.63,41.57,45.4,48.74
"Rutherford County, North Carolina",52.83,57.88,57.89,62.21,62.18
"Morgan County, Alabama",52.78,50.05,43.89,49.41,44.6
"Hardeman County, Texas",52.72,70.81,96.89,68.2,54.73
"Beauregard Parish, Louisiana",52.69,50.76,42.38,47.13,39.82
"LaGrange County, Indiana",52.54,48.3,31.02,40.53,37.84
"Weakley County, Tennessee",52.46,57.88,53.13,56.89,55.01
"Edwards County, Texas",52.46,36.56,32.24,25.07,28.82
"Cleburne County, Arkansas",52.18,36.89,32.69,30.89,33.01
"Oregon County, Missouri",52.16,41.7,53.62,55.03,32.39
"Winston County, Alabama",52.1,55.13,52.55,61.28,59.11
"Monroe County, Tennessee",52.06,56.7,56.24,64.74,64.64
"Lexington city, Virginia",51.94,34.08,28.73,,
"Liberty County, Montana",51.91,19.32,16.13,16.43,4.12
