County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Morris County, Texas",9.66,8.91,,8.1,3.4
"Washington County, North Carolina",9.63,6.06,,20.81,0
"Hertford County, North Carolina",9.62,2.29,,25.35,0.59
"Jackson County, Florida",9.57,7.89,,6.69,0.71
"Carroll County, Mississippi",9.56,11.31,0.51,17.33,14.33
"Noxubee County, Mississippi",9.55,18.57,,33.12,12.13
"Pulaski County, Arkansas",9.55,5.64,,7.82,3.04
"Alexander County, Illinois",9.54,5.26,,11.79,0.28
"Pasquotank County, North Carolina",9.47,4.11,,33.09,23.82
"Leake County, Mississippi",9.46,4.06,0.12,16.67,1.04
"Coke County, Texas",9.44,,,,
"Camp County, Texas",9.34,9.19,,7.8,19.27
"Sumter County, South Carolina",9.34,12.94,,13.97,0.25
"Grenada County, Mississippi",9.3,8.68,0.18,18.33,0
"Brooks County, Georgia",9.26,9.01,,25.21,2.51
"Jones County, Mississippi",9.18,4.03,,8.43,0.66
"Madison County, Mississippi",9.17,5.93,,19.48,9.92
"King and Queen County, Virginia",9.08,,,17.9,0
"Sumter County, Alabama",9.07,10.89,0.43,49.21,19.21
"Shelby County, Texas",9,4.46,,6.99,6.7
"Houston County, Texas",9,6.48,,13.63,2.01
"Colbert County, Alabama",8.99,5.98,0.17,7.43,1.3
"Peach County, Georgia",8.96,9.34,,14.09,13.87
"Montgomery County, North Carolina",8.95,8.38,,27.5,16.42
"Panola County, Mississippi",8.85,15.72,,24.04,19.72
"Howard County, Arkansas",8.85,11.52,,6.57,16.06
"Newberry County, South Carolina",8.85,12.1,,12.65,2.21
"Northampton County, Virginia",8.84,8.69,,21.07,0
"Wood County, Texas",8.82,1.98,,2.67,1.06
"Bowie County, Texas",8.81,4.08,,9.07,2.65
"Jeff Davis County, Georgia",8.81,4.69,,5.64,1
"Decatur County, Georgia",8.72,9.37,0.96,15.48,0
"Halifax County, North Carolina",8.7,7.01,,15.24,0
"Lafayette County, Mississippi",8.68,5.05,,7.33,6.36
"Marlboro County, South Carolina",8.61,4.74,,30.78,14.44
"Chicot County, Arkansas",8.6,8.47,,27,1.64
"Craven County, North Carolina",8.58,4.31,,24.89,19.42
"Chowan County, North Carolina",8.55,5.42,,41.21,27.14
"Jones County, North Carolina",8.49,11.89,,18.98,0
"Florence County, South Carolina",8.49,7.64,,10.8,0
"Dickinson County, Iowa",8.47,,,,
"DeSoto County, Mississippi",8.46,5.75,,4.99,5.61
"Chickasaw County, Mississippi",8.45,10.53,,17.31,4.33
"Calhoun County, Mississippi",8.44,5.89,,11.56,3.44
"Lafayette Parish, Louisiana",8.44,11.36,,8.05,0.2
"Terrell County, Georgia",8.43,12.07,,56.64,2.15
"Marion County, Georgia",8.43,6.99,,24.7,0
"Lawrence County, Arkansas",8.41,,,,
"Copiah County, Mississippi",8.39,7.58,,17.06,1.12
"Oktibbeha County, Mississippi",8.33,4.05,,10.24,0
